video_id,title_negative,title_neutral,title_positive,title_rate,tags_negative,tags_neutral,tags_positive,tags_rate
9KIP-Ncp2jU,0.0,100.0,0.0,Neutral,0.0,72.2,27.800000000000004,Positive
9L4-DV1nVek,43.7,56.3,0.0,Negative,14.000000000000002,86.0,0.0,Negative
9NC2saE5MbQ,0.0,100.0,0.0,Neutral,8.1,76.6,15.299999999999999,Positive
9NkHIv25IH4,0.0,100.0,0.0,Neutral,0.0,92.2,7.8,Positive
9O4WaQ1zqUE,0.0,100.0,0.0,Neutral,7.199999999999999,74.7,18.099999999999998,Positive
9O5PhuW927w,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9OGr-2g0zVs,0.0,100.0,0.0,Neutral,0.0,89.3,10.7,Positive
9OeZYhjyweQ,0.0,100.0,0.0,Neutral,11.200000000000001,65.4,23.400000000000002,Positive
9POblaMln4Q,0.0,100.0,0.0,Neutral,12.6,70.8,16.6,Positive
9PhM-zCmTFs,0.0,100.0,0.0,Neutral,6.7,63.800000000000004,29.5,Positive
9Pwy-cAf09I,0.0,100.0,0.0,Neutral,10.2,72.3,17.4,Positive
9Q1WSQ7R8U8,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9QkNE2m4ZDM,0.0,100.0,0.0,Neutral,0.0,52.6,47.4,Positive
9QojtREFuFU,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9Rr9u6QGgVc,0.0,100.0,0.0,Neutral,0.0,66.4,33.6,Positive
9SCNLl0MQPM,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9SK1I0V6U5c,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9Szts88zY4o,31.0,69.0,0.0,Negative,11.4,76.2,12.4,Positive
9TCdWhmtxCk,0.0,100.0,0.0,Neutral,4.7,93.60000000000001,1.7000000000000002,Negative
9TUBf6l7FBg,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9Tb3xPmr3yg,18.0,82.0,0.0,Negative,15.5,84.5,0.0,Negative
9Th4qTv-4jE,0.0,73.4,26.6,Positive,0.0,100.0,0.0,Neutral
9Tuqhjq5ANQ,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9U2kr_QfhoQ,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9U9N7U2XdcI,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9VH4yQrU_SY,0.0,100.0,0.0,Neutral,2.8000000000000003,68.89999999999999,28.299999999999997,Positive
9WFf9XY5rME,32.1,67.9,0.0,Negative,16.6,57.9,25.5,Positive
9WT7NU3Rwr0,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9WXQr3WVrbU,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9WwKW2wIU-k,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9XSULcLI6Hg,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9YlnHbN28jo,0.0,61.199999999999996,38.800000000000004,Positive,0.0,80.80000000000001,19.2,Positive
9Z26NYFJizI,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9ZrAjnPHzjQ,0.0,100.0,0.0,Neutral,14.899999999999999,85.1,0.0,Negative
9_lkVzzd6rE,13.600000000000001,67.9,18.5,Positive,0.0,95.7,4.3,Positive
9aC3UOu5dR0,25.0,75.0,0.0,Negative,11.4,79.60000000000001,9.0,Negative
9bAiXJoNdy0,0.0,45.0,55.00000000000001,Positive,0.0,52.800000000000004,47.199999999999996,Positive
9bdXZzQvb0U,0.0,72.2,27.800000000000004,Positive,4.0,80.60000000000001,15.299999999999999,Positive
9brhgq2OmXw,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9d-Z7V5kZvQ,0.0,100.0,0.0,Neutral,5.7,91.5,2.8000000000000003,Negative
9dHLFD_Jveo,0.0,100.0,0.0,Neutral,0.0,89.60000000000001,10.4,Positive
9dmij6g-iZc,0.0,100.0,0.0,Neutral,4.7,69.3,25.900000000000002,Positive
9efQnL-nlUg,0.0,48.9,51.1,Positive,0.0,64.0,36.0,Positive
9fKALFSxX_Q,0.0,100.0,0.0,Neutral,15.8,84.2,0.0,Negative
9fe3ECuYWlI,0.0,100.0,0.0,Neutral,0.0,83.39999999999999,16.6,Positive
9fed80dZ5wM,0.0,67.60000000000001,32.4,Positive,0.0,72.89999999999999,27.1,Positive
9flXyzcSfT4,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9i3GtPIS0-4,0.0,100.0,0.0,Neutral,7.199999999999999,48.0,44.7,Positive
9jRtpMKLsts,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
