video_id,views,likes,comment_count
-p2lhxUqMMQ,6,6,6
-pCzLbCCppo,5,5,5
-ppaazmNIgA,5,5,5
-py2awmME8s,2,2,2
-rZkKvRZ0UE,5,5,5
-s3j-ptJD10,12,12,12
-sXnoM6rDB4,3,3,3
-t1q78GYNww,5,5,5
-t5YLGn3VHQ,1,1,1
-txKpma65ZU,7,7,7
-v-_Z11T5L4,7,7,7
-wuvYC0x5lc,2,2,2
-xAMnJgc3oA,10,10,10
-xt_j2aIAkg,7,7,7
-yMXWp-Fh3g,6,6,6
-zrJwYFJtZo,7,7,7
0-7wMD5ISIs,9,9,9
0-M5C7sQdGI,3,3,3
0-_h-qFt_zs,1,1,1
0-yiRIWkhLo,1,1,1
00RpZZThSAs,11,11,11
00mdcc9o28A,1,1,1
00nmxR1mxIA,3,3,3
01AEuxSlIMg,7,7,7
02N508BDngc,5,5,5
02e9klKUN0Y,1,1,1
032BPsxhreM,7,7,7
04aPsalAZQI,3,3,3
069D0NmW39o,2,2,2
07JQ4WZJIbg,1,1,1
07S_Glj3uYs,11,11,11
07Um1PY_P4o,9,9,9
07bTt0BTi-U,5,5,5
08OhPK2BVIU,13,13,13
08l0K3UyUXE,14,14,14
08nkwgZIE4I,1,1,1
08vIy0y1N9I,3,3,3
0ANDjPQPS_Q,5,5,5
0AWUKX5D_ak,6,6,6
0C3pC-uonZU,3,3,3
0DVNtFA-_wA,8,8,8
0DpCDxoj_Xg,1,1,1
0EPY1CKFecs,7,7,7
0EQuVfP-vXs,8,8,8
0ETrC_c14ms,3,3,3
0EbFotkXOiA,7,7,7
0FBYDz1_EPs,1,1,1
0GKC_nj7B44,15,15,15
0GQmGOju6CE,6,6,6
0H-JHIGRRNM,12,12,12
0HX039UdGpU,13,13,13
0I9vWjc9nao,4,4,4
0IC3II1i5yM,6,6,6
0IaG9oM4O4s,13,13,13
0Juc2cL26mg,4,4,4
0KEFbtZQdnE,2,2,2
0KFC9dZ7bxU,3,3,3
0KRpcUAtg00,14,14,14
0MyCrMrkMFo,7,7,7
0NWKUHl6JLY,8,8,8
0Nip-J6u8C0,5,5,5
0O2IAz1E9Ts,4,4,4
0PW9MWDWLH8,7,7,7
0PWu3BRxn60,4,4,4
0PpNlNJ6Nng,3,3,3
0Q0_xFYpYL4,7,7,7
0QDjTwsEeE0,8,8,8
0QOPb9DlOfY,8,8,8
0Rj7pHC_6jc,4,4,4
0Rt329xQUjM,8,8,8
0TNVthqZ3uc,4,4,4
0URpDxIjZrQ,18,18,18
0WPYpeJA__U,1,1,1
0XARMt12oFk,10,10,10
0XtCnGT0B20,2,2,2
0XuOkYlUWIs,5,5,5
0YVbVXOjJv4,7,7,7
0ZAA9Y4F37I,6,6,6
0aFhzGEBQlk,4,4,4
0b6l7MIaGdA,7,7,7
